#bytesize	protobufCreateTime	protostuffCreateAndWrite	protobufCreateTime	protobufCreateAndWrite
16	1279041	17345795	18424774	8596393
16	584	29440	7708	40942
16	305	14837	3533	31941
16	288	14207	3681	30960
16	301	14402	3486	30361
16	258	15147	3512	31979
16	302	14476	3465	31942
16	251	14177	3475	31748
16	299	25043	3504	30788
16	326	15302	3531	30579
16	251	14308	3489	62412
16	316	14420	3486	35776
16	304	15456	3552	51857
16	270	15428	3507	34257
16	295	15489	3501	33759
16	250	14117	3466	369938
16	390	25139	3896	34420
16	244	14396	3561	28461
16	236	14585	3450	36759
16	319	25454	3522	27939
16	271	14712	12935	30328
16	257	27323	3653	30449
16	297	14011	3452	44762
16	252	13685	3478	28087
16	275	13472	3488	30862
16	287	24244	3738	61671
16	293	13424	3436	27955
16	278	18004	3740	27647
16	255	16667	3457	30547
16	279	13220	3527	27182
16	241	12961	3436	25707
16	285	16107	3548	28122
16	289	12414	3415	26422
16	266	27680	3801	28015
16	257	12465	3613	75908
16	320	13056	3713	27195
16	362	11989	3769	25930
16	245	11947	3456	26117
16	232	15284	3668	25555
16	256	11875	3578	25177
16	277	11674	3444	32679
16	283	26407	3660	25694
16	261	11280	3586	25705
16	279	11582	3540	35348
16	323	16777	13612	24667
16	285	11044	3679	24170
16	264	11402	3505	26213
16	271	11401	3523	24743
16	284	12376	3897	25932
16	280	11345	3490	24824
256	307	48710	3767	53059
256	293	14271	3686	49312
256	274	14084	4975	58588
256	305	15275	3703	26596
256	289	13806	4231	31378
256	289	15780	3866	26124
256	284	13434	3788	25213
256	257	22709	4832	27020
256	294	15833	3714	26049
256	337	24073	3979	35670
256	298	12765	3569	28943
256	269	18164	3995	42338
256	258	12984	3551	34726
256	236	14550	8250	74177
256	278	20807	3729	25880
256	337	13347	3629	38950
256	382	17320	3886	30876
256	281	12583	4131	23674
256	285	12891	4445	24467
256	309	25101	3825	23910
256	283	12817	4420	24362
256	339	13147	3689	25986
256	293	12569	3780	24121
256	269	14332	3735	24689
256	325	13558	4159	26582
4096	381	33278	4852	63473
4096	653	19722	5521	38417
4096	357	13768	4545	26803
4096	260	13381	5008	52641
4096	300	12862	4228	24929
4096	283	13746	4203	26105
4096	283	13612	779005	33404
4096	359	15659	4291	42380
4096	362	26933	4374	25780
4096	330	15883	4902	26273
4096	335	13787	4411	27322
4096	316	14001	4909	25436
4096	305	14031	4856	26740
4096	302	15544	4591	25223
4096	319	13231	4463	24633
4096	295	13631	4507	66874
4096	293	21129	4360	23299
4096	286	12879	4413	23129
4096	301	13964	4373	23801
4096	264	17774	4453	59605
4096	292	13036	4529	26902
4096	290	25339	4425	27120
4096	277	13020	4288	24154
4096	291	12992	4322	24586
4096	288	12659	4253	24387
65536	254	36949	14477	123776
65536	300	28766	15383	260267
65536	410	27848	937866	128188
65536	540	60709	16995	264159
65536	562	74800	16842	92734
65536	369	30466	15330	58105
65536	335	29550	14999	54330
65536	325	37681	1046430	414736
65536	768	98492	23521	78999
65536	384	24309	19511	82282
65536	361	24707	21517	85376
65536	580	25451	23966	88573
65536	373	37207	27877	89340
65536	330	32426	25708	76435
65536	278	29435	44333	2988230
65536	1271	146957	86758	2664634
65536	1052	54080	28787	91611
65536	311	22525	17872	60265
65536	282	21419	17889	59468
65536	318	31636	17830	59298
65536	327	20196	18669	75126
65536	271	30657	31725	80493
65536	366	27744	22273	67721
65536	264	24834	20951	87355
65536	243	22614	22302	65256
1048576	418	241387	1385678	2842655
1048576	1120	383925	279027	4882415
1048576	1285	766352	5224525	1603616
1048576	1055	528035	328139	8125452
1048576	903	432244	2769140	637379
1048576	529	266338	278863	876728
1048576	366	473640	398842	910465
1048576	558	283572	313373	17825331
1048576	682	381448	251438	894786
1048576	579	330395	290013	855226
1048576	253	497738	359594	788302
1048576	500	300075	284202	4466976
1048576	658	280698	274045	900731
1048576	456	292893	301203	1005436
1048576	380	457337	310255	795737
1048576	320	326910	289716	27049045
1048576	561	361302	275470	847484
1048576	276	286361	301023	48549303
1048576	778	368817	274396	807698
1048576	1024	388644	371993	979500
1048576	632	352442	308822	926316
1048576	360	401212	343007	1124320
1048576	539	414394	306388	878626
1048576	430	338018	299116	12314799
1048576	687	322915	282937	805595
16777216	942	6490955	10229374	51170124
16777216	676	5643312	9719798	74884577
16777216	758	5872347	9600422	22986936
16777216	616	5695490	9839717	128919493
16777216	786	5758979	9003354	21978019
16777216	744	5689305	9167913	22296549
16777216	625	5626018	9473129	22150492
16777216	680	5654163	9180463	479294487
16777216	999	6064563	10157183	23830761
16777216	590	6061398	9548115	23300669
